singer_name,track_name,popularity_score,rank_within_artist
A$AP Rocky,I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),85,1
Alex Warren,Ordinary,91,1
Andy Williams,It's the Most Wonderful Time of the Year,72,1
Arctic Monkeys,I Wanna Be Yours,91,1
Arctic Monkeys,505,82,2
Ariana Grande,we can't be friends (wait for your love),88,1
Ariana Grande,Santa Tell Me,85,2
Bad Bunny,DtMF,91,1
Bad Bunny,BAILE INoLVIDABLE,90,2
Bad Bunny,NUEVAYoL,89,3
Benson Boone,Beautiful Things,89,1
Benson Boone,Mystical Magical,84,2
BigXthaPlug,Hell At Night (feat. Ella Langley),75,1
Billie Eilish,BIRDS OF A FEATHER,95,1
Billie Eilish,WILDFLOWER,92,2
Bobby Helms,Jingle Bell Rock,83,1
Brenda Lee,Rockin' Around The Christmas Tree,85,1
Bruno Mars,That's What I Like,88,1
Bryson Tiller,Don't,83,1
Chappell Roan,"Good Luck, Babe!",89,1
Chappell Roan,Pink Pony Club,83,2
Childish Gambino,Les,85,1
Chris Stapleton,Tennessee Whiskey,84,1
Chris Stapleton,You Should Probably Leave,84,1
Cody Johnson,Travelin' Soldier,80,1
Coldplay,Yellow,91,1
Coldplay,Sparks,91,1
Daniel Caesar,Superpowers,85,1
Daniel Caesar,Who Knows,80,2
Darlene Love,Christmas (Baby Please Come Home),76,1
Dean Martin,Let It Snow! Let It Snow! Let It Snow!,82,1
Diplo,Wish (feat. Trippie Redd) - Trippie Mix,83,1
Disco Lines,No Broke Boys,93,1
Djo,End of Beginning,90,1
Don Toliver,No Pole,88,1
Drake,One Dance,89,1
Drake,Headlines,86,2
Drake,Passionfruit,86,2
Drake,NOKIA,85,3
Drake,Not You Too (feat. Chris Brown),84,4
Ella Langley,Choosin' Texas,82,1
Ella Langley,weren't for the wind,81,2
Ella Langley,Hell At Night (feat. Ella Langley),75,3
EsDeeKid,Phantom,85,1
Evanescence,Bring Me To Life,88,1
Fleetwood Mac,Dreams - 2004 Remaster,89,1
Fleetwood Mac,The Chain - 2004 Remaster,87,2
Fleetwood Mac,Landslide,84,3
Foo Fighters,Everlong,84,1
Frank Ocean,Pink + White,86,1
Frank Ocean,Thinkin Bout You,84,2
Frank Ocean,Novacane,82,3
Fuerza Regida,Marlboro Rojo,88,1
Gorillaz,Feel Good Inc.,90,1
Gracie Abrams,That’s So True,90,1
HUNTR/X,Golden,99,1
HUNTR/X,How It’s Done,92,2
HUNTR/X,What It Sounds Like,92,2
HUNTR/X,Takedown,90,3
Hazbin Hotel,Losin' Streak,80,1
Hazbin Hotel,Love In A Bottle,80,1
Hotel Ugly,Shut up My Moms Calling,86,1
Hudson Westbrook,House Again,79,1
J. Cole,No Role Modelz,85,1
Jeff Buckley,"Lover, You Should've Come Over",84,1
Journey,Don't Stop Believin' (2022 Remaster),84,1
Junior H,MIENTRAS DUERMES,86,1
Justin Bieber,DAISIES,91,1
KATSEYE,Gabriela,93,1
Kanye West,Flashing Lights,86,1
Kanye West,Heartless,85,2
Kanye West,All Falls Down,83,3
Kehlani,Folded,89,1
Kendrick Lamar,"\All The Stars (with SZA) - From \""\""Black Panther: The Album\""\""\""""",89,1
Kendrick Lamar,Not Like Us,87,2
Kendrick Lamar,tv off (feat. lefty gunplay),85,3
Kendrick Lamar,luther (with sza),84,4
Kendrick Lamar,Money Trees,79,5
Laufey,From The Start,87,1
Leon Thomas,MUTT,82,1
Lil Uzi Vert,20 Min,84,1
Lil Wayne,Love Me,86,1
Linkin Park,In the End,89,1
Mariah Carey,All I Want for Christmas Is You,88,1
Mazzy Star,Fade Into You,87,1
Michael Bublé,It's Beginning to Look a Lot like Christmas,77,1
Michael Bublé,Holly Jolly Christmas,76,2
Michael Jackson,Billie Jean,87,1
Miguel,Sure Thing,86,1
Morgan Wallen,What I Want (feat. Tate McRae),86,1
Morgan Wallen,I Got Better,85,2
Morgan Wallen,I'm The Problem,83,3
Morgan Wallen,I Had Some Help (Feat. Morgan Wallen),82,4
Morgan Wallen,Just In Case,80,5
NF,FEAR,78,1
NF,HOME,75,2
NF,GIVE ME A REASON,75,2
NF,WHO I WAS,65,3
NF,SORRY,61,4
Nelly Furtado,Promiscuous,87,1
Noah Kahan,Stick Season,85,1
Olivia Dean,Man I Need,96,1
Olivia Dean,So Easy (To Fall In Love),93,2
Olivia Dean,Nice To Each Other,88,3
Olivia Dean,Baby Steps,87,4
Olivia Dean,Dive,86,5
Olivia Dean,Let Alone The One You Love,86,5
Post Malone,I Had Some Help (Feat. Morgan Wallen),82,1
RAYE,WHERE IS MY HUSBAND!,93,1
ROSALÍA,La Perla,89,1
Radiohead,Creep,91,1
Radiohead,Let Down,89,2
Ravyn Lenae,Love Me Not,89,1
Red Hot Chili Peppers,Scar Tissue,85,1
Rihanna,Breakin' Dishes,77,1
Rihanna,Don't Stop The Music,76,2
Riley Green,Worst Way,82,1
Riley Green,Don't Mind If I Do,78,2
SZA,"\All The Stars (with SZA) - From \""\""Black Panther: The Album\""\""\""""",89,1
SZA,Snooze,86,2
SZA,luther (with sza),84,3
Sabrina Carpenter,Tears,92,1
Sabrina Carpenter,The Life of a Showgirl (feat. Sabrina Carpenter),91,2
Sabrina Carpenter,When Did You Get Hot?,91,2
Sabrina Carpenter,Nobody’s Son,88,3
Saja Boys,Soda Pop,93,1
Saja Boys,Your Idol,92,2
Shaboozey,A Bar Song (Tipsy),80,1
Sia,Snowman,84,1
TV Girl,Lovers Rock,87,1
Tame Impala,The Less I Know The Better,88,1
Tame Impala,Dracula,85,2
Tame Impala,Borderline,85,2
Tate McRae,Just Keep Watching (From F1® The Movie),90,1
Tate McRae,TIT FOR TAT,90,1
Tate McRae,Sports car,86,2
Tate McRae,What I Want (feat. Tate McRae),86,2
Tate McRae,Revolving door,85,3
Taylor Swift,The Fate of Ophelia,100,1
Taylor Swift,Opalite,96,2
Taylor Swift,Elizabeth Taylor,93,3
Taylor Swift,Father Figure,92,4
Taylor Swift,The Life of a Showgirl (feat. Sabrina Carpenter),91,5
Taylor Swift,Wi$h Li$t,91,5
Taylor Swift,Wood,91,5
Taylor Swift,Actually Romantic,91,5
Tears For Fears,Everybody Wants To Rule The World,88,1
Teddy Swims,Lose Control,89,1
The Cranberries,Linger,86,1
The Goo Goo Dolls,Iris,93,1
The Kid LAROI,NIGHTS LIKE THIS,87,1
The Killers,Mr. Brightside,89,1
The Marías,No One Noticed,90,1
The Marías,Sienna,88,2
The Neighbourhood,Sweater Weather,92,1
The Police,Every Breath You Take,91,1
The Red Clay Strays,Wondering Why,82,1
The Ronettes,Sleigh Ride,69,1
The Weeknd,"One Of The Girls (with JENNIE, Lily Rose Depp)",92,1
The Weeknd,Timeless (feat Playboi Carti),91,2
The Weeknd,The Hills,87,3
The Weeknd,Die For You,86,4
Three Days Grace,I Hate Everything About You,82,1
Tory Lanez,The Color Violet,85,1
Treaty Oak Revival,Missed Call,81,1
"Tyler, The Creator",Sugar On My Tongue,90,1
"Tyler, The Creator",See You Again (feat. Kali Uchis),89,2
Waka Flocka Flame,No Hands (feat. Roscoe Dash & Wale),82,1
Wham!,Last Christmas,87,1
Whiskey Myers,Broken Window Serenade,81,1
Yeat,COMË N GO,85,1
YoungBoy Never Broke Again,Nevada,80,1
YoungBoy Never Broke Again,Make No Sense,80,1
YoungBoy Never Broke Again,Shot Callin,76,2
Zach Bryan,I Remember Everything (feat. Kacey Musgraves),86,1
Zach Bryan,Something in the Orange,86,1
Zach Bryan,Pink Skies,83,2
sombr,12 to 12,89,1
wifiskeleton,Nope your too late i already died,87,1
